VARIABLES="X","Y"
ZONE T="Mygrid",I=20,J=81,F=POINT
DT=(DOUBLE DOUBLE)
5 0
5 -0.0300147
5 -0.0665899
5 -0.111139
5 -0.165372
5 -0.231349
5 -0.311548
5 -0.408939
5 -0.527065
5 -0.670133
5 -0.843106
5 -1.05179
5 -1.30291
5 -1.60417
5 -1.96424
5 -2.39271
5 -2.89989
5 -3.49652
5 -4.19326
5 -5
3.94301 0
3.94758 -0.030045
3.95314 -0.0666572
3.95992 -0.111252
3.96817 -0.165539
3.97821 -0.231583
3.99041 -0.311863
4.00523 -0.409352
4.0232 -0.527598
4.04497 -0.670811
4.07129 -0.843958
4.10304 -1.05285
4.14124 -1.30423
4.18708 -1.60579
4.24186 -1.96623
4.30705 -2.39513
4.38421 -2.90282
4.47499 -3.50005
4.58099 -4.1975
4.70374 -5.00505
3.16123 0
3.16871 -0.0300705
3.17783 -0.0667137
3.18893 -0.111346
3.20245 -0.16568
3.2189 -0.231779
3.23889 -0.312128
3.26316 -0.409699
3.2926 -0.528045
3.32826 -0.67138
3.37137 -0.844674
3.42339 -1.05374
3.48598 -1.30533
3.56107 -1.60715
3.65081 -1.96789
3.75761 -2.39716
3.88402 -2.90528
4.03273 -3.50302
4.20639 -4.20106
4.40746 -5.0093
2.58301 0
2.59218 -0.0300911
2.60336 -0.0667595
2.61698 -0.111423
2.63355 -0.165794
2.65372 -0.231938
2.67823 -0.312342
2.708 -0.40998
2.7441 -0.528407
2.78783 -0.67184
2.84069 -0.845253
2.90447 -1.05447
2.98122 -1.30623
3.0733 -1.60825
3.18335 -1.96924
3.3143 -2.3988
3.46932 -2.90727
3.65167 -3.50543
3.86462 -4.20394
4.11118 -5.01273
2.15534 0
2.1653 -0.0301069
2.17744 -0.0667945
2.19223 -0.111481
2.21023 -0.16588
2.23213 -0.23206
2.25875 -0.312505
2.29107 -0.410195
2.33028 -0.528684
2.37776 -0.672192
2.43518 -0.845696
2.50444 -1.05502
2.58779 -1.30691
2.68778 -1.6091
2.80729 -1.97028
2.94951 -2.40006
3.11785 -2.9088
3.31587 -3.50726
3.54713 -4.20615
3.8149 -5.01536
1.83902 0
1.84911 -0.0301178
1.86139 -0.0668187
1.87636 -0.111521
1.89457 -0.165941
1.91674 -0.232144
1.94368 -0.312619
1.97639 -0.410344
2.01607 -0.528876
2.06413 -0.672436
2.12224 -0.846003
2.19234 -1.0554
2.27669 -1.30739
2.37789 -1.60968
2.49884 -1.97099
2.64277 -2.40093
2.81314 -2.90985
3.01356 -3.50854
3.24761 -4.20767
3.5186 -5.01718
1.60507 0
1.61478 -0.0301239
1.62661 -0.0668321
1.64101 -0.111544
1.65856 -0.165974
1.6799 -0.232191
1.70584 -0.312682
1.73734 -0.410427
1.77554 -0.528983
1.82182 -0.672571
1.87777 -0.846173
1.94526 -1.05562
2.02649 -1.30765
2.12393 -1.61
2.24039 -1.97139
2.37898 -2.40141
2.54302 -2.91044
2.736 -3.50924
2.96136 -4.20852
3.2223 -5.01819
1.43203 0
1.441 -0.0301251
1.45192 -0.0668348
1.46523 -0.111548
1.48144 -0.165981
1.50115 -0.2322
1.52512 -0.312694
1.55421 -0.410443
1.58951 -0.529004
1.63226 -0.672599
1.68394 -0.846207
1.74629 -1.05566
1.82133 -1.3077
1.91134 -1.61007
2.01893 -1.97147
2.14695 -2.40151
2.29849 -2.91056
2.47676 -3.50938
2.68494 -4.20869
2.92599 -5.01839
1.30404 0
1.312 -0.0301215
1.3217 -0.0668268
1.33351 -0.111535
1.34789 -0.165961
1.36538 -0.232172
1.38664 -0.312657
1.41246 -0.410394
1.44378 -0.52894
1.48171 -0.672517
1.52757 -0.846105
1.5829 -1.05553
1.64948 -1.30754
1.72935 -1.60988
1.82481 -1.97123
1.93841 -2.40122
2.07288 -2.9102
2.23106 -3.50896
2.41578 -4.20818
2.62967 -5.01779
1.20938 0
1.21613 -0.030113
1.22435 -0.0668079
1.23436 -0.111503
1.24655 -0.165914
1.26139 -0.232107
1.27941 -0.312568
1.30131 -0.410278
1.32786 -0.528791
1.36002 -0.672327
1.3989 -0.845866
1.44581 -1.05523
1.50226 -1.30718
1.56998 -1.60942
1.65093 -1.97067
1.74724 -2.40054
1.86125 -2.90938
1.99537 -3.50797
2.15199 -4.20699
2.33334 -5.01637
1.13937 0
1.14475 -0.0300996
1.15132 -0.0667783
1.15932 -0.111454
1.16906 -0.16584
1.1809 -0.232004
1.1953 -0.31243
1.21278 -0.410096
1.23399 -0.528556
1.25967 -0.672029
1.29073 -0.845491
1.32819 -1.05476
1.37328 -1.3066
1.42736 -1.60871
1.492 -1.9698
1.56892 -2.39948
1.65998 -2.90809
1.76709 -3.50641
1.89217 -4.20513
2.03701 -5.01415
1.08758 0
1.0915 -0.0300814
1.09628 -0.0667379
1.1021 -0.111387
1.10918 -0.16574
1.1178 -0.231864
1.12828 -0.312241
1.141 -0.409848
1.15643 -0.528237
1.17511 -0.671623
1.19771 -0.84498
1.22496 -1.05413
1.25776 -1.30581
1.29711 -1.60773
1.34414 -1.96861
1.40011 -2.39803
1.46636 -2.90634
1.54429 -3.50429
1.63529 -4.20259
1.74066 -5.01111
1.04928 0
1.05165 -0.0300584
1.05454 -0.0666867
1.05806 -0.111301
1.06235 -0.165613
1.06756 -0.231686
1.0739 -0.312001
1.08159 -0.409534
1.09092 -0.527832
1.10223 -0.671108
1.11589 -0.844332
1.13238 -1.05332
1.15222 -1.30481
1.17602 -1.6065
1.20447 -1.9671
1.23832 -2.39619
1.27839 -2.90411
1.32553 -3.50161
1.38058 -4.19936
1.44431 -5.00727
1.02095 0
1.02171 -0.0300304
1.02264 -0.0666248
1.02378 -0.111198
1.02515 -0.165459
1.02683 -0.231471
1.02887 -0.311712
1.03134 -0.409154
1.03434 -0.527342
1.03797 -0.670485
1.04237 -0.843548
1.04767 -1.05234
1.05405 -1.30359
1.0617 -1.60501
1.07085 -1.96527
1.08173 -2.39396
1.09461 -2.90141
1.10977 -3.49836
1.12746 -4.19546
1.14796 -5.00262
1 -5.83632e-08
0.999109 -0.0299954
0.998024 -0.0665469
0.996702 -0.111068
0.995092 -0.165266
0.993134 -0.2312
0.990754 -0.311347
0.987864 -0.408675
0.984358 -0.526725
0.980112 -0.669701
0.974979 -0.842562
0.968786 -1.05111
0.961333 -1.30207
0.952392 -1.60313
0.941706 -1.96297
0.928991 -2.39116
0.913939 -2.89802
0.896232 -3.49426
0.875555 -4.19056
0.851613 -4.99677
0.979254 -0.00293155
0.976712 -0.0328116
0.973614 -0.0692228
0.969841 -0.113573
0.965248 -0.167562
0.959661 -0.233243
0.952869 -0.313083
0.944621 -0.410036
0.934617 -0.527633
0.922501 -0.670059
0.907852 -0.842256
0.890179 -1.05
0.868911 -1.3
0.843398 -1.59991
0.812904 -1.95836
0.776618 -2.38491
0.733665 -2.88981
0.683137 -3.48377
0.62413 -4.17739
0.555809 -4.98051
0.955666 -0.00617444
0.951499 -0.0358226
0.946422 -0.071951
0.940238 -0.115957
0.932709 -0.169527
0.92355 -0.234698
0.912417 -0.313918
0.898897 -0.410119
0.882499 -0.526802
0.862638 -0.668123
0.838626 -0.838983
0.809657 -1.04512
0.774796 -1.29317
0.732975 -1.59075
0.68299 -1.94642
0.62351 -2.36966
0.553103 -2.87065
0.470278 -3.45999
0.373556 -4.14822
0.261565 -4.94511
0.929015 -0.00972865
0.923257 -0.0390411
0.916241 -0.0747606
0.907696 -0.118268
0.897293 -0.171232
0.884637 -0.235665
0.869254 -0.313988
0.850572 -0.4091
0.827913 -0.524463
0.80047 -0.664184
0.76729 -0.83311
0.727261 -1.03691
0.679091 -1.28216
0.621303 -1.57637
0.552234 -1.92801
0.470046 -2.34646
0.372758 -2.84177
0.258313 -3.42445
0.124663 -4.10489
-0.0300845 -4.89275
0.899112 -0.0135843
0.891805 -0.0424557
0.882901 -0.0776377
0.872056 -0.12049
0.858853 -0.172657
0.842791 -0.236121
0.823267 -0.313265
0.799558 -0.406946
0.7708 -0.520573
0.735971 -0.658192
0.693862 -0.824575
0.643059 -1.02531
0.581924 -1.26686
0.508584 -1.55665
0.420926 -1.903
0.316618 -2.31515
0.193147 -2.80301
0.0478991 -3.37692
-0.12172 -4.04712
-0.318116 -4.82313
0.865825 -0.0177197
0.857017 -0.0460467
0.846283 -0.0805652
0.833209 -0.12261
0.817294 -0.173793
0.797931 -0.23606
0.774395 -0.31175
0.745814 -0.403664
0.711148 -0.515148
0.669162 -0.650172
0.6184 -0.813418
0.557158 -1.01037
0.483462 -1.24737
0.395052 -1.53169
0.289382 -1.87151
0.16364 -2.27589
0.0147983 -2.75455
-0.160294 -3.31763
-0.364767 -3.9752
-0.601518 -4.73657
0.829094 -0.0220996
0.818839 -0.0497808
0.806342 -0.0835126
0.79112 -0.124599
0.77259 -0.174615
0.750047 -0.235463
0.722645 -0.309427
0.689369 -0.399246
0.649008 -0.508189
0.600124 -0.640135
0.541023 -0.79966
0.469721 -0.992119
0.383919 -1.22372
0.280985 -1.50156
0.157957 -1.83363
0.0115586 -2.22879
-0.161734 -2.69654
-0.36559 -3.24679
-0.603652 -3.88937
-0.879296 -4.63338
0.788953 -0.0266734
0.77731 -0.05361
0.763123 -0.0864344
0.745843 -0.126415
0.724807 -0.175087
0.699216 -0.234298
0.668108 -0.306272
0.630331 -0.393675
0.584512 -0.499688
0.529018 -0.628084
0.461925 -0.783318
0.38098 -0.9706
0.283574 -1.19597
0.16672 -1.46633
0.0270535 -1.78948
-0.139143 -2.17401
-0.335871 -2.62918
-0.567295 -3.16462
-0.837551 -3.78991
-1.15047 -4.51392
0.745545 -0.0313734
0.732581 -0.0574696
0.716783 -0.0892697
0.697541 -0.128003
0.674116 -0.175156
0.645619 -0.232519
0.610978 -0.302248
0.568913 -0.386924
0.517891 -0.489628
0.456095 -0.614018
0.381384 -0.764408
0.291248 -0.945846
0.182782 -1.16418
0.0526595 -1.42611
-0.102865 -1.73917
-0.287933 -2.1117
-0.506998 -2.55267
-0.7647 -3.07141
-1.06564 -3.67719
-1.41409 -4.3786
0.699137 -0.0361136
0.684919 -0.0612767
0.667595 -0.0919398
0.646493 -0.129288
0.620804 -0.174755
0.589552 -0.230067
0.551564 -0.297303
0.505432 -0.378951
0.449479 -0.477983
0.381711 -0.597925
0.299778 -0.742938
0.20093 -0.917889
0.0819806 -1.12842
-0.0607181 -1.38098
-0.231275 -1.68285
-0.43423 -2.04206
-0.674469 -2.46726
-0.957078 -2.96745
-1.28711 -3.55157
-1.66924 -4.2279
0.650121 -0.0407886
0.634723 -0.0649298
0.615959 -0.0943477
0.593104 -0.13018
0.565281 -0.1738
0.531433 -0.226866
0.490289 -0.291371
0.440325 -0.369704
0.379723 -0.464714
0.306325 -0.579786
0.217586 -0.71891
0.110526 -0.886756
-0.0183053 -1.08874
-0.172859 -1.33104
-0.357585 -1.62065
-0.5774 -1.96528
-0.837597 -2.37321
-1.14368 -2.85309
-1.50113 -3.41349
-1.91501 -4.06235
0.599012 -0.0452739
0.582506 -0.0683087
0.562393 -0.0963785
0.537895 -0.130568
0.508072 -0.172189
0.47179 -0.222824
0.427688 -0.284373
0.374132 -0.359115
0.309173 -0.449772
0.230499 -0.55957
0.135379 -0.692318
0.0206224 -0.852472
-0.117472 -1.0452
-0.283137 -1.2764
-0.481144 -1.55274
-0.716762 -1.88156
-0.995666 -2.2708
-1.32376 -2.72869
-1.70691 -3.26341
-2.15054 -3.88254
0.546426 -0.0494284
0.528889 -0.0712771
0.507519 -0.0979013
0.481489 -0.13033
0.449802 -0.169808
0.411252 -0.217835
0.364393 -0.276214
0.307489 -0.347108
0.23847 -0.433096
0.154877 -0.53724
0.0538115 -0.663152
-0.068119 -0.815059
-0.214846 -0.997858
-0.390867 -1.21715
-0.601251 -1.47926
-0.851599 -1.79116
-1.14794 -2.16035
-1.49654 -2.59466
-1.90364 -3.10184
-2.375 -3.68909
0.493061 -0.0530996
0.474568 -0.0736871
0.452033 -0.0987746
0.424585 -0.129332
0.39117 -0.166531
0.350519 -0.211786
0.301106 -0.266795
0.2411 -0.333597
0.168318 -0.414622
0.0801688 -0.512754
-0.0264055 -0.631399
-0.154982 -0.774538
-0.309707 -0.946785
-0.495323 -1.15342
-0.717176 -1.4004
-0.981169 -1.69429
-1.29366 -2.04218
-1.66127 -2.45142
-2.09056 -2.92932
-2.58761 -3.48268
0.439657 -0.056131
0.420283 -0.0753878
0.396676 -0.0988537
0.367921 -0.127436
0.332916 -0.162231
0.290331 -0.20456
0.238566 -0.256014
0.175704 -0.318498
0.0994593 -0.394286
0.00711504 -0.486075
-0.104531 -0.597051
-0.239227 -0.730938
-0.401314 -0.892053
-0.595764 -1.08533
-0.828174 -1.31635
-1.10473 -1.59125
-1.43209 -1.91664
-1.81719 -2.29943
-2.26691 -2.74645
-2.78762 -3.26403
0.386955 -0.0583731
0.366778 -0.0762351
0.34219 -0.0980014
0.312241 -0.124513
0.275783 -0.156788
0.231429 -0.196051
0.177515 -0.243779
0.112043 -0.301737
0.0326323 -0.372035
-0.0635463 -0.457177
-0.179828 -0.560114
-0.320117 -0.684304
-0.488935 -0.833749
-0.691458 -1.01303
-0.933519 -1.22731
-1.22156 -1.4823
-1.56251 -1.78413
-1.9636 -2.13919
-2.432 -2.55383
-2.97433 -3.03393
0.335667 -0.0596942
0.31476 -0.0761031
0.289284 -0.0960985
0.258253 -0.120453
0.220477 -0.150102
0.174521 -0.186171
0.118659 -0.230016
0.0508212 -0.283259
-0.0314594 -0.347837
-0.131113 -0.426052
-0.251597 -0.520615
-0.396955 -0.634701
-0.571873 -0.771987
-0.781714 -0.936683
-1.03252 -1.13353
-1.33097 -1.36777
-1.68425 -1.64505
-2.09983 -1.97122
-2.58515 -2.35213
-3.14708 -2.79316
0.286431 -0.0599903
0.26487 -0.0748932
0.238597 -0.0930535
0.206595 -0.115173
0.167638 -0.142101
0.120244 -0.17486
0.0626339 -0.21468
-0.00732552 -0.263037
-0.0921799 -0.321689
-0.194951 -0.392725
-0.319204 -0.478609
-0.469109 -0.582224
-0.649498 -0.706911
-0.865904 -0.856492
-1.12456 -1.03527
-1.43234 -1.24802
-1.79667 -1.49984
-2.22525 -1.79608
-2.72575 -2.14203
-3.30526 -2.54259
